PC1,PC2,Player,Cluster
5.452555982869003,1.7109131377953752,Jayson Tatum,Cluster 3
5.297615154996773,0.3108008950293443,Luka Dončić,Cluster 3
2.9265465029699094,-2.6945674813085607,RJ Barrett,Cluster 1
0.5606189346394942,0.563785159611055,De'Andre Hunter,Cluster 1
2.802923821744852,-2.8318505398337983,Scottie Barnes,Cluster 1
1.381165890607781,2.9043848190248323,OG Anunoby,Cluster 3
0.13400848511959537,-0.6716551247425275,Kelly Oubre Jr.,Cluster 1
-1.2786301962218245,-0.6767932208033168,Keldon Johnson,Cluster 2
-3.016874498669935,2.085677252885875,Isaac Okoro,Cluster 2
-3.534691933950208,0.17816541459043664,Kyle Anderson,Cluster 2
-3.7489879909998356,0.16604028177774244,Cam Reddish,Cluster 2
-6.976250153105606,-1.0449005940264586,Joe Ingles,Cluster 2
