PC1,PC2,Player,Cluster
9.202640863601328,0.5921913308695683,Shai Gilgeous-Alexander,Cluster 3
9.087984162244714,-3.3193346164431197,LaMelo Ball,Cluster 3
7.612867773165461,-1.1976094255019822,De'Aaron Fox,Cluster 3
6.8212465829914635,-2.3995072127017414,Tyrese Maxey,Cluster 3
7.189218463723977,-3.2881260899416183,Damian Lillard,Cluster 3
6.028644860982257,-1.8615182418874199,Jalen Brunson,Cluster 3
6.62087702847144,-2.2137113089310048,Devin Booker,Cluster 3
7.135224714505562,-0.4029898453721079,Anthony Edwards,Cluster 3
5.025179367847872,-3.8760930501819684,Cam Thomas,Cluster 3
5.0213458967216855,-1.6765849044430603,Norman Powell,Cluster 3
5.9168346212364895,-0.15412918176228266,Kyrie Irving,Cluster 3
6.1508595854118475,-1.72708068594056,Tyler Herro,Cluster 3
8.217065344299417,-0.6317307040682695,Cade Cunningham,Cluster 3
6.042906984634093,0.18536597827652887,Donovan Mitchell,Cluster 3
8.38588525531025,-1.3828478721118564,James Harden,Cluster 3
6.062167578404916,-1.2194981999551062,Stephen Curry,Cluster 3
7.427084805436814,-2.530239373107691,Trae Young,Cluster 3
5.096868417998733,-1.6366085179640206,Zach LaVine,Cluster 3
4.759830375870703,-1.6395025395458833,CJ McCollum,Cluster 3
5.783655819492228,-2.582593096073745,Jordan Poole,Cluster 3
5.587369906366752,-1.721842814377311,Ja Morant,Cluster 3
4.441848573032718,-0.09596586921835705,Darius Garland,Cluster 3
5.316134263457066,-0.22544210739602144,Jamal Murray,Cluster 3
4.6749036957001335,-0.32240239020810363,Jalen Green,Cluster 3
4.215629658122184,-0.026345211870895956,Bradley Beal,Cluster 3
3.112553089066824,-1.2859661559315048,Shaedon Sharpe,Cluster 1
4.511915219330956,-1.1177099717150294,Coby White,Cluster 3
5.038961360641722,-0.24926695311618025,Tyrese Haliburton,Cluster 3
4.473759381559013,-0.6880538191883482,Austin Reaves,Cluster 3
4.351559364175475,-0.023982793995917736,Jaden Ivey,Cluster 3
3.177209608221571,-1.1538345593584187,Collin Sexton,Cluster 1
3.408147975507169,-2.080345608525643,Anfernee Simons,Cluster 3
5.114007123219516,2.3785453197586204,Derrick White,Cluster 1
2.696445945787419,-0.23068975539959619,Malik Beasley,Cluster 1
5.1183518254595715,1.1403813580023971,Jalen Suggs,Cluster 3
3.6557448745887022,-1.4372900483068862,Dennis Schröder,Cluster 3
3.139196081318634,-2.065319796995566,Jordan Clarkson,Cluster 3
6.010275839530478,-1.6368522777573,Dejounte Murray,Cluster 3
3.728476132019697,-2.337902523719765,Keyonte George,Cluster 3
3.4187407709918762,-0.30233134049865273,Malik Monk,Cluster 1
4.349826434489828,1.025028848301333,Desmond Bane,Cluster 1
3.259030389356747,1.4753727733956623,Payton Pritchard,Cluster 1
4.698919976533694,1.2423576334169129,Fred VanVleet,Cluster 1
0.9643263522050244,-3.6649853216587434,Immanuel Quickley,Cluster 1
1.6340490233459624,-1.3900890388540443,Jared McCain,Cluster 1
2.2314079239521516,-1.7862434443806732,Malcolm Brogdon,Cluster 1
5.528643225230286,3.2690876486255744,Josh Hart,Cluster 1
3.1861970380716325,2.396373981740152,Christian Braun,Cluster 1
1.240067640106943,-1.1345312730690142,Tre Mann,Cluster 1
2.3283500026812574,1.0230098201306685,Klay Thompson,Cluster 1
4.356790671588223,0.7210482982169688,Bilal Coulibaly,Cluster 1
4.542916413961721,3.4004739948159988,Dyson Daniels,Cluster 1
2.536712744008962,0.6094927827620954,Ayo Dosunmu,Cluster 1
1.831449247175699,0.9261890631232961,Buddy Hield,Cluster 1
1.8664731088092044,-0.19718169637618355,D'Angelo Russell,Cluster 1
1.7568649315183944,0.08471445134492271,Tyus Jones,Cluster 1
4.125018902717335,1.1143775109824068,Josh Giddey,Cluster 1
2.43504254355642,1.5085499269877052,Jrue Holiday,Cluster 1
3.926574080298734,1.3536640926593264,Russell Westbrook,Cluster 1
2.041080123109663,0.45343352121903385,Terry Rozier,Cluster 1
1.5151522165154132,1.5346928711432892,Caris LeVert,Cluster 1
0.7550985501839249,-1.4513818853281732,Jordan Hawkins,Cluster 1
1.7431700239191426,-0.04890199228903804,Brandon Boston,Cluster 1
2.2560671489463147,-0.5308323179909764,Scoot Henderson,Cluster 1
1.3221729098984984,-0.38695307334260387,Bogdan Bogdanović,Cluster 1
1.8953302267024732,1.3350140131647417,Ochai Agbaji,Cluster 1
0.702427049809966,0.9956792796469704,T.J. McConnell,Cluster 1
1.5604376281562164,0.07576876466530862,Stephon Castle,Cluster 1
2.275179565776153,1.5377129364654556,Scotty Pippen Jr.,Cluster 1
1.1092942169286446,-1.2162067605429452,Jose Alvarado,Cluster 1
1.127944924411322,0.3400128513393208,Grayson Allen,Cluster 1
1.0707209077362525,0.07405794825820962,De'Anthony Melton,Cluster 1
1.7353247149737276,0.770837345720255,Donte DiVincenzo,Cluster 1
0.8375339893540313,1.3373703371125323,Miles McBride,Cluster 1
2.6263393357396994,4.152258528370793,Luguentz Dort,Cluster 1
2.8774003470817693,0.9946003759050263,Chris Paul,Cluster 1
0.17687422622072602,0.38200670434154105,Gary Trent Jr.,Cluster 4
0.7528473454413236,1.3224900431040658,Nickeil Alexander-Walker,Cluster 1
0.9022262090352243,1.4888936801098531,Quentin Grimes,Cluster 1
0.9116345166552069,0.3226966892017393,Marcus Smart,Cluster 1
1.9390124757513156,-0.30294154854948846,Carlton Carrington,Cluster 1
0.36892562721678035,2.488314875449115,Aaron Wiggins,Cluster 1
