PC1,PC2,Player,Cluster
10.878715416900164,-5.401727286138256,Giannis Antetokounmpo,Cluster 3
9.150796418946742,-6.039455703686395,Paolo Banchero,Cluster 3
8.031483322084938,-2.858770170268131,Kevin Durant,Cluster 3
7.437420898135514,-1.7272236979234585,Franz Wagner,Cluster 3
8.204782236684085,-1.7526277876956555,LeBron James,Cluster 3
7.564302834066696,-5.965207962235369,Zion Williamson,Cluster 3
6.446343246956166,-1.1967458752257385,Brandon Ingram,Cluster 3
6.815832536987864,0.5891769988490386,Brandon Miller,Cluster 3
5.384145572383873,0.1711551407623541,Trey Murphy III,Cluster 3
7.961555765387346,-0.7345460926287442,Jalen Johnson,Cluster 3
5.759894063948539,0.5253199479973816,Pascal Siakam,Cluster 3
4.977536346998695,0.7613600168234825,Cameron Johnson,Cluster 3
5.079836094096307,0.7277331275964637,Michael Porter Jr.,Cluster 3
4.850773319113284,-3.1328791338885837,Jimmy Butler,Cluster 3
5.086273924551374,-1.0238274307783704,Miles Bridges,Cluster 3
4.252210627279291,-0.3784698561429344,Jonathan Kuminga,Cluster 3
4.115376261123214,0.37645915622007303,Andrew Wiggins,Cluster 1
5.34978025811573,-0.5366628824248693,Paul George,Cluster 3
2.9001704673035125,-1.0057882377764291,Kyle Kuzma,Cluster 1
4.093812369363396,1.1542521021407528,Jerami Grant,Cluster 1
4.411501457072679,-1.454815052104069,Jeremy Sochan,Cluster 3
3.653750395529784,0.7774117670484507,Bobby Portis,Cluster 1
2.802032479329682,-1.6327412455224526,Aaron Gordon,Cluster 1
2.9506211310906196,-1.9299431788859258,Khris Middleton,Cluster 1
4.215063296953446,0.3628788689909493,Deni Avdija,Cluster 1
3.6385784932911167,0.8246335999770215,Tobias Harris,Cluster 1
3.009532222642964,0.654835183066902,Rui Hachimura,Cluster 1
4.307448771910434,-0.07156036812747743,P.J. Washington,Cluster 3
2.937317484446581,2.011172644550017,Julian Champagnie,Cluster 1
3.4050506435114616,1.051002946172928,Jabari Smith Jr.,Cluster 1
3.9846869809199648,1.6720053727440056,Keegan Murray,Cluster 1
1.4603650748844423,1.4772644402629393,Corey Kispert,Cluster 1
1.6300692862927835,1.5335711513437906,Jaylen Wells,Cluster 1
3.2094645750524906,0.4198283720061339,Tari Eason,Cluster 1
1.4338150914493755,1.7746043809022205,Duncan Robinson,Cluster 1
3.3091383887057364,-0.23296021801168473,Herbert Jones,Cluster 1
0.9990437577656891,0.337272021788787,Naji Marshall,Cluster 1
2.05542219372064,1.5227831986757334,Zaccharie Risacher,Cluster 1
1.2696616759747716,0.9738525454851272,Harrison Barnes,Cluster 1
1.2494931182109812,1.4471498805422158,Obi Toppin,Cluster 1
2.916809738315786,2.18350593346721,Royce O'Neale,Cluster 1
2.2610946234293587,0.9531857999850283,Dorian Finney-Smith,Cluster 1
2.9179643485112803,-0.3326867251657144,Grant Williams,Cluster 1
2.0991627260299666,0.8226450277987131,Patrick Williams,Cluster 1
1.46294542299555,1.0121020532095082,Chris Boucher,Cluster 1
0.739781230526001,1.766275127076477,Dalton Knecht,Cluster 1
1.4466977263099816,1.5413928002891766,Derrick Jones Jr.,Cluster 1
2.7139811167384966,1.932682402803793,Jaden McDaniels,Cluster 1
2.183180482313367,1.287739607846801,Guerschon Yabusele,Cluster 1
0.9672034611062607,0.2580148392148718,Dalano Banton,Cluster 1
2.1371368341966583,0.4803044432443522,Caleb Martin,Cluster 1
1.2860647380704817,1.6878476673187595,Jalen Wilson,Cluster 1
-1.0041164118113801,-2.531530675103592,Trentyn Flowers,Cluster 2
0.8291526234583545,1.3953896975441413,Tristan da Silva,Cluster 1
2.890321601445731,2.1870563416896767,Toumani Camara,Cluster 1
1.2673026349259888,0.5033742410048965,Trayce Jackson-Davis,Cluster 1
0.5103581285063762,0.04551241945181678,Nikola Jović,Cluster 1
1.2163225171465517,0.44473499008309114,Ziaire Williams,Cluster 1
4.262652232854305,0.40003763879378196,Draymond Green,Cluster 1
2.083564103260294,1.6368892072321337,Cody Martin,Cluster 1
0.9163229069322874,1.7322912935137968,Georges Niang,Cluster 1
-1.153435548952518,-0.6816543518201787,Cam Whitmore,Cluster 2
2.0923224045659348,0.8914614400200402,Jake LaRavia,Cluster 1
-0.028793373992712007,1.3895702423606924,Brice Sensabaugh,Cluster 1
0.17847971892610243,1.6123356460611165,Sam Hauser,Cluster 1
1.0277609020125404,2.0064801531288627,Taurean Prince,Cluster 1
-0.46088347942354785,0.4128693152817527,Tyrese Martin,Cluster 1
0.5808248610186457,0.9888665409562168,Brandon Clarke,Cluster 1
1.6656977096481425,1.4791118861234025,Kyshawn George,Cluster 1
0.7545673629768652,1.7080600739266816,Haywood Highsmith,Cluster 1
0.8358910114174649,-2.357952444239241,Isaiah Jackson,Cluster 1
-1.5222332006264825,-0.0035408911012133897,Torrey Craig,Cluster 2
0.5091195232197817,1.6389288313148171,Jeremiah Robinson-Earl,Cluster 1
-0.3415473734673021,1.5038169784682405,Simone Fontecchio,Cluster 1
-0.3063271287795744,0.6384563136671989,KJ Martin,Cluster 1
-0.47341101486403064,1.553820846338209,Ronald Holland II,Cluster 1
-0.049998208745878354,1.7187608831790757,Ryan Dunn,Cluster 1
0.46543632834323695,1.970389324262954,Jarace Walker,Cluster 1
0.0077036735813098564,0.8881417881274205,Trey Lyles,Cluster 1
-1.2371212315933835,1.9109794559471835,Jamison Battle,Cluster 1
-1.6736153581668667,0.4050347695755187,Malaki Branham,Cluster 2
0.769439670102753,1.2275102759141778,Jonathan Isaac,Cluster 1
