PC1,PC2,Player,Cluster
11.049978748841491,5.395780619587874,Nikola Jokić,Cluster 1
5.347835620304896,2.084495011000007,Nikola Vučević,Cluster 1
6.743505985047091,1.3377122420292875,Alperen Sengun,Cluster 1
5.352633423704714,2.8083998965929036,Evan Mobley,Cluster 1
5.054053611454635,-2.1142086673397573,Jakob Poeltl,Cluster 1
4.542448349243349,-0.6562287951386938,Ivica Zubac,Cluster 1
3.2347681830656647,-1.419436351421986,Deandre Ayton,Cluster 1
3.1711417671258926,0.9484995877684242,Jarrett Allen,Cluster 1
2.7861260758956727,2.0882626965888975,Brook Lopez,Cluster 1
0.8450555286569728,-1.0369679572751882,Mark Williams,Cluster 1
2.1934570484037534,-1.767519661204251,Jonas Valančiūnas,Cluster 1
2.992172322265474,-0.35370268803616,Alexandre Sarr,Cluster 1
2.257992633304782,0.1859682129069412,Zach Edey,Cluster 1
3.547090711906448,-1.4648654769794058,Rudy Gobert,Cluster 1
3.197993591152647,-3.240927523461774,Walker Kessler,Cluster 1
1.8861726142214499,-1.1724829340634275,Clint Capela,Cluster 1
1.8361979995622362,-1.5879419190564068,Nic Claxton,Cluster 1
2.5198980539332414,-3.215640491331024,Yves Missi,Cluster 1
0.06298256242931105,2.197353435430437,Jay Huff,Cluster 2
1.743386270424362,-1.824370689932887,Nick Richards,Cluster 1
2.624374840456405,-2.071587468015778,Jalen Duren,Cluster 1
2.8100893278854544,0.015531297059184317,Jusuf Nurkić,Cluster 1
1.993656458064218,-0.5380051617318592,Dereck Lively II,Cluster 1
1.3321486946301566,-1.6737005646574565,Andre Drummond,Cluster 1
-0.5166061018036601,0.06199200313634917,Day'Ron Sharpe,Cluster 2
-0.5614707201285534,-0.26265136659458327,Kyle Filipowski,Cluster 2
-3.9804559392923933,1.2127802436308328,James Wiseman,Cluster 2
0.341092601820536,-1.8081603195025666,Donovan Clingan,Cluster 1
-0.9027477117904182,-0.13037547252014814,Neemias Queta,Cluster 2
-1.9362759078415699,1.8301709530363788,Micah Potter,Cluster 2
-3.93131988478787,1.248458636284724,Luka Garza,Cluster 2
-1.6485506859131056,0.240486166935336,Mo Bamba,Cluster 2
-2.8603398072029114,0.5050556186049798,Kel'el Ware,Cluster 2
-3.9270494214225224,0.16668047775579253,Moses Brown,Cluster 2
-2.656619804753702,0.31179785034582874,Jock Landale,Cluster 2
-2.4267004619041947,-0.3629239138354501,DeAndre Jordan,Cluster 2
-2.169837368831345,-0.08968994151574256,Steven Adams,Cluster 2
-2.5048222595122787,-1.0625133778410356,Trey Jemison III,Cluster 2
-4.091775733068569,0.72611855099034,Duop Reath,Cluster 2
-3.760082665479397,0.845386907560864,Orlando Robinson,Cluster 2
-3.169462607877012,-0.17732128905946865,Christian Koloko,Cluster 2
-3.5633040675701078,-0.27882678070211325,Ariel Hukporti,Cluster 2
-2.414768054106264,-0.27981941918925823,Jericho Sims,Cluster 2
-3.1964940334716747,-0.5594928512120904,Alex Len,Cluster 2
-4.571021879853829,0.9582958698971504,Colin Castleton,Cluster 2
-5.281445430395455,1.17878903669821,Quinten Post,Cluster 2
-4.725358870981843,0.5081937175633474,Liam Robbins,Cluster 2
-4.566505867232815,1.2631265005656003,Branden Carlson,Cluster 2
-5.275373403730083,0.7679599975501917,PJ Hall,Cluster 2
-4.827864334849275,0.26206555209863364,Ulrich Chomche,Cluster 2
